Thermal_Conduction_Conductance_Matrix,,,,,,,
K_ij,node0,node1,node2,node3,node4,node5,node6
node0,N/A,133.2,0,0.0015,0,0.0015,0
node1,133.2,N/A,0.003,0,0,0,0
node2,0,0.003,N/A,0,0,9.95,0
node3,0.0015,0,0,N/A,0,0.0033,0.0033
node4,0,0,0,0,N/A,#N/A,2.607
node5,0.0015,0,9.95,0.0033,#N/A,N/A,0.4309090909
node6,0,0,0,0.0033,2.607,0.4309090909,N/A
Thermal_Radiation_Conductance_Matrix,,,,,,,
R_ij,node0,node1,node2,node3,node4,node5,node6
node0,N/A,0,0,0,0,0,0
node1,0,N/A,0,0,0,0,0
node2,0,0,N/A,0,0,0,0
node3,0,0,0,N/A,0,0,0
node4,0,0,0,0,N/A,0,0
node5,0,0,0,0,0,N/A,0
node6,0,0,0,0,0,0,N/A